"chi2","mu","eta","alpha","zeta","rho_mantle","rho_core","R_core","rho_layer","R_layer","eta_layer","mu_layer"
4.084680486639167,73.85482,27.455554,0.103501,-3.791057,3368.6020000000003,6308.762,387.625243,3373.9880000000003,400.849993,15.838468,35.165054
3.9445503165242526,85.984335,24.237306,0.144589,-2.066497,3357.492,6760.631,402.454018,3373.557,624.802524,4.433604,11.824759
14.426953297835464,83.673978,22.107669,0.160234,0.581342,3372.666,5156.837,437.153019,3373.426,640.154737,13.098983,65.740703
10.042760542010488,66.007241,21.004578,0.347884,0.312306,3372.149,5533.709,414.214115,3374.2230000000004,487.781531,16.4083,47.837768
17.068886161418668,72.265013,25.235767,0.15361,-2.775334,3369.135,5484.803,426.014719,3372.959,435.329725,13.664504,56.465577
6.598301869357494,76.191675,21.846481,0.118351,1.252046,3363.3320000000003,6243.693,408.027896,3373.3430000000003,492.070178,12.743483,24.838222
7.696624346217908,72.950802,25.215847,0.12503,-2.168467,3372.908,5937.63,385.855741,3373.71,435.034241,21.989827,8.774451
8.639791782496015,77.582614,25.994987,0.134979,-3.274133,3374.521,6168.326999999999,371.368009,3374.8300000000004,571.341338,20.138625,11.256657
3.601284817029375,81.793042,25.713655,0.141683,-3.461746,3351.7980000000002,6743.668000000001,419.407817,3372.6259999999997,563.807356,0.954107,75.886929
4.29460176138538,75.212012,27.743435,0.18873,-4.381539,3346.255,6557.104,440.299441,3371.9790000000003,630.504996,15.921585,13.606063
2.7435631014236077,82.342804,19.863948,0.170722,4.272874,3363.933,5525.223999999999,444.271919,3372.89,665.101778,15.060144,10.737753
9.849925631987958,74.271864,28.849858,0.379653,-1.278985,3359.746,6856.285,392.154603,3373.645,684.920754,16.214589,19.155223
5.8196825333267475,72.34819,21.5973,0.12432,2.036036,3352.432,6543.003,427.095722,3372.478,484.968948,11.773713,12.377066
5.3808807188281484,86.698789,26.205998,0.119596,-3.259847,3372.325,6716.99,353.194977,3373.5029999999997,626.055412,5.85395,81.588736
8.283931523101693,73.949602,26.941279,0.131924,-4.01875,3361.3740000000003,5602.041,447.008739,3372.176,552.157631,21.135798,51.168125
10.370850365482205,71.495123,23.62115,0.133145,-1.193055,3370.273,6760.779,361.179169,3373.691,393.851841,26.69487,38.036975
3.517058055054595,79.941307,21.863906,0.109617,1.353663,3362.442,6030.646,419.290516,3372.672,520.866891,2.021256,48.281187
8.24529185815518,77.457405,21.379441,0.119542,4.285647,3367.5350000000003,6599.381,378.572215,3374.314,643.036785,16.32792,14.568952
6.650616158593736,84.576602,24.402907,0.149012,-1.759223,3368.6470000000004,6744.7480000000005,366.30263,3373.5879999999997,630.897465,5.971778,24.106126
8.691203315485586,72.785443,22.570641,0.127955,0.099299,3365.492,6142.598999999999,404.187583,3373.096,555.635108,19.75369,57.593297
3.040719920502599,78.487755,25.867234,0.165386,-3.360099,3358.1020000000003,6944.185,392.295207,3372.7079999999996,578.651283,14.921138,57.717868
2.3087617703891476,83.588039,23.64212,0.151613,-0.610299,3363.5609999999997,6451.495000000001,398.471529,3374.084,654.076321,14.923883,1.39989
9.211367369615447,74.302846,20.306,0.103825,3.197072,3350.863,6308.195000000001,440.364922,3371.5660000000003,578.749684,23.915551,71.307325
7.72286456008548,65.728986,23.764169,0.282106,-1.830596,3370.689,6868.763000000001,358.839312,3374.542,475.795503,15.901182,36.383953
5.927343719615919,81.005981,25.714013,0.120981,-2.327279,3371.642,5442.344,423.97136,3374.2830000000004,575.38843,12.848728,26.447135
4.897234801870512,79.315037,27.727726,0.102676,-4.269364,3359.374,5719.7880000000005,446.344837,3371.572,475.665597,9.326025,62.876177
4.926906759249095,65.535112,20.806146,0.188977,3.278655,3362.464,6481.237,398.074868,3372.852,474.704787,16.213265,55.630583
13.890882109784128,76.891976,22.664638,0.130509,0.457564,3363.9869999999996,6094.187,411.541108,3373.027,527.505594,15.332547,21.669007
5.360412124327201,81.284441,23.923447,0.109829,-0.604391,3363.151,6687.446,389.157585,3373.657,530.738948,3.584271,34.410989
6.853012367761142,86.916609,24.584252,0.127183,-2.002801,3364.362,6621.204,386.278019,3373.5080000000003,624.609176,9.912604,33.296251
4.106807536531169,88.517789,27.295385,0.133812,-4.785677,3347.8759999999997,6986.951999999999,418.398192,3372.579,656.396585,2.008354,76.636177
5.877145316536504,73.726393,27.270585,0.109164,-3.363249,3369.119,6698.767,370.228966,3374.492,429.994453,12.941971,25.176928
6.932458074728126,80.789174,24.162363,0.102504,-0.949293,3366.4990000000003,6780.785,371.470986,3373.0190000000002,593.880563,26.068027,25.482423
11.89878446157813,84.916655,25.475415,0.100108,-1.7148,3335.391,6865.877,449.016214,3370.266,682.236084,27.918829,25.914744
7.84903566425065,75.590455,24.567734,0.146841,-1.801946,3339.7169999999996,6875.263999999999,443.537593,3371.436,553.736467,22.303919,5.779783
3.8687062759863067,80.072726,24.942206,0.117249,-0.562119,3353.7720000000004,6815.375,409.134595,3372.21,590.538328,14.786692,42.331444
8.227489452771684,79.762571,23.134227,0.101709,0.871776,3371.314,6784.1990000000005,357.256803,3374.3219999999997,498.059479,8.938505,15.66684
6.951593113477461,78.944644,22.287987,0.135043,0.840873,3340.561,6714.648,446.76374,3370.822,578.607467,8.810365,74.509509
4.444369582242359,79.162827,25.903134,0.151665,-3.496627,3365.2160000000003,5632.666,435.485963,3373.4809999999998,554.642058,12.424933,36.07454
9.192333396075664,78.256252,21.83367,0.126763,1.203492,3370.522,6832.168000000001,358.983454,3374.366,524.108902,6.485361,34.235288
12.827184318299508,63.513225,29.533548,0.205479,0.278542,3368.5809999999997,5730.027,414.435727,3373.577,541.591256,16.613692,58.589474
6.964553510631894,77.542144,19.413544,0.175843,4.935554,3351.994,6916.0599999999995,410.360319,3372.7149999999997,623.965045,15.250445,72.757158
3.154856662277536,79.812015,24.454352,0.101838,-1.753204,3359.956,6325.992,416.80018,3373.709,536.510658,19.751895,37.801328
7.106051695129492,79.876482,25.324265,0.116946,-2.465939,3365.461,6309.453,395.718305,3373.3140000000003,519.099761,2.749472,69.956258
9.106827261838191,74.30162,21.975753,0.133959,0.150567,3372.915,5308.7210000000005,423.793154,3373.451,598.060915,26.106182,57.473904
5.086980142483692,77.75826,27.811752,0.10011,-3.420669,3352.636,6051.896,449.162173,3371.627,519.782295,15.226581,37.781991
