"chi2","mu","eta","alpha","zeta","Delta","eta_gb","d_grain","rho_mantle","rho_core","R_core"
7.081009941724304,75.086552,19.793321,0.326313,1.661457,-0.844139,9.714803,-2.969227,3373.691,5175.741999999999,431.465506
4.156527224323194,71.348067,20.175799,0.111431,3.716171,-1.518942,11.183564,-4.900069,3374.623,6917.141,341.696351
3.6225553919227265,80.004959,26.006045,0.111495,-2.616639,-0.936475,9.656041,-3.50756,3374.4139999999998,6044.035,375.449921
6.5406069479362845,76.456465,24.578724,0.100419,-0.998032,-0.262587,19.422586,-3.005844,3373.3740000000003,5178.624,431.674835
6.397493765513744,84.176282,20.948345,0.107534,1.750889,-0.835742,7.160668,-2.570068,3373.384,5555.3679999999995,404.177753
8.98811338667896,72.204625,26.581147,0.113241,-3.313916,-1.759209,20.520002,-2.700141,3373.494,6133.621,373.168801
6.05460455481577,70.753233,20.624633,0.189147,1.210964,-1.601365,1.28154,-4.960698,3373.3900000000003,5248.189,425.726349
6.1125130641300975,71.264062,23.120092,0.109243,1.113084,-1.698206,10.919251,-3.720196,3373.735,6615.121,352.243613
5.23526163696434,74.622013,27.950317,0.104291,-4.638753,-0.875347,17.764566,-4.397667,3374.235,5419.879,412.835951
7.118853941130462,83.134188,22.582564,0.112947,0.168486,-0.784916,4.194865,-2.178514,3374.3509999999997,6131.881,371.331869
13.98908584538056,64.432732,21.311481,0.20705,2.114253,-1.197107,11.247224,-3.352728,3373.417,6920.157999999999,340.763836
4.568303989515696,68.89985,20.682065,0.267547,0.700437,-1.319705,8.89213,-2.070916,3372.821,5399.879,413.000642
3.3848732484610204,78.103093,25.868929,0.110017,-2.034675,-1.118599,9.60313,-3.225278,3373.14,5134.521000000001,435.708753
3.912986697667658,74.462106,24.632957,0.128736,-2.286784,-1.914521,5.417982,-3.975998,3374.087,5766.031,390.03557
5.5323429593782,73.631704,22.054945,0.12236,0.913709,-0.016469,19.182482,-5.911334,3373.589,5051.362,442.051861
6.5509850656315285,86.515817,21.730409,0.146417,0.949298,-0.63351,10.061328,-3.862226,3373.527,5251.582,424.701591
10.527987070091497,70.115533,25.822422,0.113703,-2.140656,-0.988429,16.9652,-5.11004,3373.322,6767.773,347.334766
4.253791524099769,81.713073,25.174965,0.139463,-2.850568,-0.729332,2.198278,-4.12106,3373.83,6641.0869999999995,351.099179
10.868909451368888,79.907273,19.975548,0.170549,2.05708,-0.711775,9.704104,-4.56888,3374.944,6404.297,360.223527
6.370501223299458,79.730625,22.759491,0.101471,0.176318,-1.317271,0.558477,-5.779853,3373.636,5266.250999999999,424.205889
6.88204429246786,65.478336,23.766482,0.116846,4.558494,-1.137677,11.779231,-3.846961,3373.328,5761.368,391.131824
6.40966823753738,67.897132,19.760894,0.236751,2.812892,-1.247072,12.516594,-5.579213,3374.5159999999996,5455.69,410.395125
11.68074100699851,64.422496,21.600667,0.332692,2.19631,-1.031018,10.376502,-2.444803,3373.796,5790.383000000001,389.222351
9.614223804193724,86.373685,22.96268,0.100405,0.612382,-0.824093,11.900773,-5.802234,3373.962,5200.512,428.599017
9.784002124360796,66.821444,24.764876,0.145326,1.008532,-1.270755,12.575826,-5.340756,3373.8540000000003,6089.286,373.411658
13.874248566502821,62.867654,23.397259,0.236399,2.235558,-1.078929,13.143013,-5.261871,3374.889,6176.984,369.805103
4.2553363366048,83.411085,21.348364,0.108833,3.404648,-0.618297,10.35811,-3.80475,3373.545,6143.562,370.73879
5.5633324155294055,75.734224,23.299731,0.112243,-0.328852,-0.694074,20.084801,-5.323923,3373.79,5093.012,438.024428
3.5325394632838485,72.941319,20.388583,0.131848,2.6001,-1.366177,7.984663,-2.283401,3373.6079999999997,5905.036,383.421835
6.427836382275358,88.468254,21.518477,0.131079,0.256678,-0.741614,6.285196,-3.28532,3374.308,5204.621,427.877716
9.985250163306759,75.2356,20.531538,0.102943,2.880332,-1.901014,7.999682,-2.074376,3373.801,5824.302000000001,387.156148
8.482650372402128,75.963835,25.580326,0.106579,-3.063207,-1.747685,7.095645,-2.931209,3373.9880000000003,6971.638,340.110927
7.524819462662091,70.559187,28.247582,0.103922,-3.889724,0.316031,22.231051,-5.727661,3373.758,6165.29,369.645402
8.021129863130664,69.051797,22.054832,0.147305,-0.079288,-1.38285,17.068965,-5.103022,3374.225,6951.900000000001,339.704521
9.46013865576827,75.91078,27.081824,0.103307,-4.066607,-0.690268,23.909683,-3.908992,3373.843,6011.915,379.00485
3.4425318957236968,73.505131,24.986661,0.114641,-2.072476,-0.206108,16.200933,-3.670292,3374.4649999999997,5741.722000000001,391.150301
8.950626845237528,64.470175,24.717423,0.244615,-2.678943,-1.676027,10.644729,-3.381032,3374.662,6350.664,362.504684
13.003468488013123,76.234865,21.583491,0.123579,0.340596,-1.460083,6.028975,-5.254302,3374.321,6353.5019999999995,361.763178
6.9608162035058765,68.822053,21.413801,0.139956,1.247379,0.223853,15.450863,-2.349456,3373.69,6942.507,340.244389
10.822540697296038,73.091463,21.166137,0.114745,1.196854,-1.857374,8.258097,-2.415392,3373.757,6963.714999999999,340.013007
3.0156754285833767,66.820734,20.955717,0.193585,0.856818,-1.163764,18.072686,-3.930561,3374.324,6239.955,367.238455
4.047611830953622,68.496229,25.137005,0.183712,-3.365402,-1.489107,5.728382,-5.23961,3374.525,6942.866999999999,340.25664
8.955674771905647,72.614345,26.430474,0.1789,-4.430721,-1.116316,0.979702,-3.266417,3373.807,6645.936,350.865271
5.673549190893295,73.942997,26.311234,0.124468,-3.293678,0.419148,19.854894,-2.416936,3373.788,5176.903,430.064375
9.221081659568625,71.537545,26.426173,0.144361,-4.269984,0.544181,18.404223,-4.574735,3373.406,5772.727,390.747092
11.456334729111616,85.302895,23.510116,0.11153,-1.225845,-0.885833,7.524102,-5.180292,3374.027,5769.754,391.373816
8.986727782757349,78.138444,26.904286,0.110647,-2.017833,-0.859447,8.64618,-2.29416,3374.724,6967.683,339.747514
11.545885356602744,73.288711,27.074522,0.113017,-2.574574,-1.606666,13.230162,-5.624649,3372.608,5059.498,441.07164
4.972831705095295,70.260051,20.212119,0.130603,2.903526,-1.89352,8.734245,-2.070901,3374.137,5976.036,379.866417
11.702898928131292,75.866412,23.145656,0.103761,-0.334235,-0.14096,18.539838,-4.231494,3374.043,5935.771,381.181801
10.227466567107557,72.431251,23.306012,0.119432,-0.148542,0.092704,18.133069,-4.867293,3374.136,5279.476,422.437547
15.48668543704483,70.147344,22.067329,0.236577,-0.404725,-1.433606,10.603567,-3.823758,3374.276,5317.802000000001,420.542889
