"chi2","mu","eta","alpha","zeta","Delta","t_rel","rho_mantle","rho_core","R_core"
6.4115483823346135,71.913694,22.858207,0.145272,-0.987735,-1.569019,-2.234529,3374.088,5814.467,387.799521
12.219561821531183,66.8984,25.965595,0.279308,-4.391319,-1.430002,-9.803527,3374.092,5895.11,384.610983
4.911636708214361,72.131975,25.733275,0.112135,-2.562988,-1.327402,-0.834476,3374.3340000000003,6178.102,369.153863
20.501389471885727,79.278463,19.879881,0.108556,3.396894,-1.277513,-8.827481,3373.7870000000003,5066.56,440.826071
4.7956612925310145,73.754213,25.053706,0.11405,-2.409633,-1.340781,-2.310974,3373.9309999999996,6444.122,358.85292
11.124570836148123,73.021832,23.410759,0.120072,1.413741,-1.148825,-7.635039,3374.1279999999997,5879.442,384.704482
3.588977882083436,62.772964,25.706408,0.360731,1.916555,-1.083067,-8.947731,3374.43,6679.477999999999,349.147929
9.445707043073194,65.131511,21.129939,0.319285,0.039171,-1.545904,-4.585472,3374.547,6124.39,372.333863
3.2318623828400743,76.234384,23.704167,0.207253,-2.60776,-0.88618,-8.832194,3374.466,5785.63,390.497915
15.125715224653135,86.30367,19.803615,0.135538,3.774067,-0.537833,-4.485642,3374.027,5909.911,383.214182
9.811896857398057,71.523866,26.607484,0.110749,-3.286056,-0.467991,-4.780711,3374.335,6572.429999999999,353.008802
6.174136772012107,75.884781,21.94737,0.110147,1.197237,-1.169587,-6.741551,3373.245,5840.491,386.401159
5.548334234958434,74.838659,27.229744,0.106023,-4.666592,-1.770674,-7.405682,3374.529,6328.789000000001,362.599915
7.727506521270186,71.939913,26.376576,0.106453,-1.542842,-1.512589,-9.589425,3372.953,5010.922,446.227783
7.898318336137252,83.109695,20.362158,0.193547,3.30431,-0.565788,-4.904599,3374.4809999999998,5774.039,390.446205
5.512982044156247,62.279872,24.32494,0.339064,1.467677,-1.00847,-7.398788,3374.495,6894.539,341.161308
11.577897372604204,66.742226,20.722642,0.247206,1.707872,-1.34393,-4.627756,3373.84,6085.317,373.814909
7.532766021495093,66.721844,21.36029,0.19162,1.396751,-1.649148,-4.927634,3373.539,5304.546,421.321068
8.347151348852314,72.403438,26.314147,0.112406,-3.10744,-0.634223,-2.736685,3374.4100000000003,6386.607,359.896652
8.948583992797497,70.69741,26.964049,0.124699,-3.255253,-1.94772,-9.88132,3372.9610000000002,5773.879,391.048961
10.660651941968794,67.366353,21.332037,0.188335,1.444255,-1.444501,-4.675799,3373.3469999999998,5617.963,400.145739
5.093182381659631,88.231113,23.891716,0.163185,-0.660599,-0.409753,-8.622703,3373.788,6191.366,369.447817
4.352982878604774,68.408964,19.865736,0.21395,3.210748,-1.422607,-3.734257,3373.814,5183.8,429.770198
4.497696722036766,73.407995,22.88748,0.124185,-0.256917,-1.897313,-2.83423,3373.593,5622.697999999999,399.807464
5.894019871561752,69.170574,25.554932,0.130741,-0.936604,-1.425176,-8.785811,3372.8579999999997,5115.0599999999995,437.66054
4.732272359185951,71.794285,27.918207,0.118734,-4.655969,0.903111,-6.790298,3373.558,5521.182,405.822005
3.1193010840552295,81.872915,24.885735,0.104494,-0.24924,-0.72443,-9.511212,3373.51,5417.458,411.951728
3.1634575828533635,72.320322,27.046765,0.121721,-4.551874,-0.33886,-3.963576,3373.951,6339.85,363.681375
5.771311206038947,70.48808,22.515319,0.172955,-0.701688,-1.47819,-1.941193,3373.819,5232.17,426.705351
15.903240880944805,76.6325,27.327408,0.107027,-4.519481,-0.828333,-2.434261,3372.4449999999997,5580.014,402.607674
6.124768262831903,74.158086,23.670223,0.14545,-1.498179,-1.792054,-8.728767,3373.4449999999997,5126.137,435.541228
8.75393554826298,73.55023,22.716854,0.136773,-0.203986,-1.331496,-9.900511,3374.194,6569.532,352.952434
10.370291776473158,70.246859,25.076077,0.160654,-2.939849,-0.637908,-1.291417,3374.167,6160.482,371.137033
7.763332523364226,71.277949,21.098758,0.109979,1.76017,0.051758,-0.507114,3374.366,6724.861,348.415214
7.484299864291239,70.561578,23.936038,0.126852,-0.893942,-1.243611,-0.839448,3373.989,6582.067999999999,353.276975
14.315747322926796,70.898777,25.960425,0.140319,-3.633066,0.710852,-0.527743,3373.98,5562.153,402.942783
4.768212336525775,66.636033,25.869078,0.208799,-2.670764,-1.344752,-9.832682,3374.0589999999997,6655.218,351.108215
8.669489183427169,67.251404,23.197784,0.174244,-0.927128,-1.994182,-6.547588,3374.9120000000003,6175.059,369.513717
10.86167689282654,77.37183,25.126505,0.101039,-1.772994,-1.847409,-4.00131,3373.872,5140.049999999999,435.11952
4.803229006595709,74.159777,22.897521,0.129635,-0.061927,0.359723,-2.91922,3373.606,5227.877,426.935898
3.9618713563013683,73.586741,19.741963,0.110632,3.498796,-1.551892,-7.898216,3374.024,6829.024,344.349127
6.718429510568599,67.912287,20.621918,0.189733,1.706791,-1.934282,-4.384156,3373.51,5230.105,425.331928
5.5601611165746325,70.906837,25.263302,0.139914,-2.75331,0.335976,-2.26213,3374.024,5897.049,383.719434
