"chi2","mu","eta","alpha","zeta","rho_mantle","rho_core","R_core"
9.552524546046381,88.354016,21.985168,0.056429,1.032527,3374.652,5846.269,385.915475
12.264544176412102,83.091284,27.74727,0.084214,-4.602305,3373.184,5023.179,445.280729
3.7194036163316944,88.860819,22.706781,0.061798,-0.378925,3373.1800000000003,6259.432000000001,366.39301
2.824971822050913,83.854499,27.791289,0.057627,-3.874323,3373.839,6149.784000000001,371.342639
5.653382160173602,79.385288,25.865306,0.092127,-2.747739,3374.002,5022.749,444.181181
3.999106994200229,77.997915,24.138474,0.083934,-0.706154,3373.531,6006.74,378.518994
11.898373141049401,82.186182,27.882415,0.081887,-4.663216,3373.736,5132.374000000001,435.15205
16.932483305543663,86.266425,28.950033,0.0567,-4.961834,3373.9469999999997,5512.199,406.113353
5.98452352146647,86.918557,28.118278,0.057966,-3.944962,3372.704,5105.289,437.824291
10.527685667366285,86.756014,26.796043,0.065148,-3.794615,3374.011,5827.4800000000005,387.343631
6.330734855890266,73.321643,25.410677,0.119134,-2.534945,3374.4480000000003,5755.957,390.739955
9.983582361812836,77.423645,28.617526,0.072764,-3.781888,3373.692,6110.455,373.786724
9.458119609563619,81.790531,27.513437,0.071868,-4.241612,3374.4559999999997,6112.443,372.991994
8.776912379197,78.623158,25.369185,0.079248,-1.657492,3374.8689999999997,6837.341,343.71442
4.567814777809279,75.579048,26.496025,0.086834,-2.547762,3374.723,6364.532999999999,362.04797
4.301550688012623,76.377464,21.034312,0.103902,1.87855,3373.342,5500.883,407.505284
4.829147379008549,82.101528,28.044617,0.068447,-4.762404,3373.51,6858.415,342.90711
10.341972363373012,83.230247,25.664451,0.076159,-2.689105,3372.983,5223.795,427.824016
4.696344989836287,77.806928,25.456093,0.084826,-2.149105,3373.43,5638.493,398.208019
11.009911496674803,69.267998,21.698965,0.139032,1.176401,3373.829,5930.186,382.634262
6.379146095236113,78.391764,23.277436,0.090893,-0.216205,3374.419,6037.301,375.934119
3.1872365615422464,74.735503,22.078599,0.112507,1.342848,3374.346,5206.041,428.092553
